threshold_meV_per_atom,coordinate_endpoint,model_name,metric,bootstrap_ci_low_95,bootstrap_median,bootstrap_ci_high_95
0,mp_source_coordinate,ALIGNN-FF,expected_stable_hits_at_300,190.0,207.0,223.0
0,mp_source_coordinate,ALIGNN-FF,expected_stable_hits_at_500,332.0,355.0,375.025
0,mp_source_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,3401.975,3470.0,3537.05
0,mp_source_coordinate,ALIGNN-FF,normalized_ap,0.31563915239507984,0.32968143586684506,0.34342725827093407
0,mp_source_coordinate,CHGNet,ap,0.7122605010821109,0.7212239502670976,0.7298013114334234
0,mp_source_coordinate,CHGNet,auroc,0.8253431409090997,0.8312738079858183,0.8373179378016921
0,mp_source_coordinate,CHGNet,expected_stable_hits_at_100,55.975,65.0,75.0
0,mp_source_coordinate,CHGNet,expected_stable_hits_at_1000,699.0,729.0,759.0
0,mp_source_coordinate,CHGNet,expected_stable_hits_at_300,188.975,206.0,221.0
0,mp_source_coordinate,CHGNet,expected_stable_hits_at_500,330.0,353.0,374.0
0,mp_source_coordinate,CHGNet,expected_stable_hits_at_5000,3911.0,3966.0,4026.0
0,mp_source_coordinate,CHGNet,normalized_ap,0.5130726005757171,0.5276197434978963,0.542176647023227
0,mp_source_coordinate,M3GNet,ap,0.6950159523983933,0.7039824981822534,0.7121388578035625
0,mp_source_coordinate,M3GNet,auroc,0.795499205184516,0.8018031890047762,0.8079834652925428
0,mp_source_coordinate,M3GNet,expected_stable_hits_at_100,57.0,66.0,75.0
0,mp_source_coordinate,M3GNet,expected_stable_hits_at_1000,726.0,753.0,781.025
0,mp_source_coordinate,M3GNet,expected_stable_hits_at_300,194.975,211.0,226.0
0,mp_source_coordinate,M3GNet,expected_stable_hits_at_500,334.0,357.0,378.0
0,mp_source_coordinate,M3GNet,expected_stable_hits_at_5000,3893.975,3949.0,4003.025
0,mp_source_coordinate,M3GNet,normalized_ap,0.48439240426892743,0.4983762372626825,0.5125149248724196
0,mp_source_coordinate,MACE-MP,ap,0.7513996776104367,0.7601133138361916,0.7685802407214913
0,mp_source_coordinate,MACE-MP,auroc,0.8622477958818228,0.8672417734139206,0.8722109496601579
0,mp_source_coordinate,MACE-MP,expected_stable_hits_at_100,56.0,65.0,74.0
0,mp_source_coordinate,MACE-MP,expected_stable_hits_at_1000,729.975,759.0,786.0
0,mp_source_coordinate,MACE-MP,expected_stable_hits_at_300,189.0,207.0,221.0
0,mp_source_coordinate,MACE-MP,expected_stable_hits_at_500,335.0,358.0,378.025
0,mp_source_coordinate,MACE-MP,expected_stable_hits_at_5000,3998.0,4052.0,4107.0
0,mp_source_coordinate,MACE-MP,normalized_ap,0.5797753450501075,0.5936691165278346,0.6071893260352913
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,ap,0.8282813184504259,0.8354482318224605,0.8424345825160169
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,auroc,0.7179439264449078,0.72462264255908,0.7318263172286522
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_100,100.0,100.0,100.0
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_1000,965.0,975.0,984.0
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_300,300.0,300.0,300.0
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_500,497.0,500.0,500.0
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,4573.975,4614.0,4652.025
10,alex_pbe_matched_pool_coordinate,ALIGNN-FF,normalized_ap,0.5170832383232291,0.5301539276012031,0.5433344715070325
10,alex_pbe_matched_pool_coordinate,CHGNet,ap,0.9392512905828458,0.9422560291721462,0.9450775663444025
10,alex_pbe_matched_pool_coordinate,CHGNet,auroc,0.8956891969086407,0.8996135535368435,0.9042521662850409
10,alex_pbe_matched_pool_coordinate,CHGNet,expected_stable_hits_at_100,100.0,100.0,100.0
10,alex_pbe_matched_pool_coordinate,CHGNet,expected_stable_hits_at_1000,998.0,1000.0,1000.0
10,alex_pbe_matched_pool_coordinate,CHGNet,expected_stable_hits_at_300,300.0,300.0,300.0
10,alex_pbe_matched_pool_coordinate,CHGNet,expected_stable_hits_at_500,500.0,500.0,500.0
10,alex_pbe_matched_pool_coordinate,CHGNet,expected_stable_hits_at_5000,4953.0,4966.0,4978.0
10,alex_pbe_matched_pool_coordinate,CHGNet,normalized_ap,0.8281130126154177,0.8348632919213816,0.8422605574115767
10,alex_pbe_matched_pool_coordinate,M3GNet,ap,0.9184284308533296,0.9221989108718691,0.9258300335526215
10,alex_pbe_matched_pool_coordinate,M3GNet,auroc,0.8552155788928483,0.8601478986990243,0.8648945921414319
10,alex_pbe_matched_pool_coordinate,M3GNet,expected_stable_hits_at_100,100.0,100.0,100.0
10,alex_pbe_matched_pool_coordinate,M3GNet,expected_stable_hits_at_1000,997.0,999.0,1000.0
10,alex_pbe_matched_pool_coordinate,M3GNet,expected_stable_hits_at_300,300.0,300.0,300.0
10,alex_pbe_matched_pool_coordinate,M3GNet,expected_stable_hits_at_500,500.0,500.0,500.0
10,alex_pbe_matched_pool_coordinate,M3GNet,expected_stable_hits_at_5000,4921.0,4938.0,4953.0
10,alex_pbe_matched_pool_coordinate,M3GNet,normalized_ap,0.7693946898465426,0.7779026758881464,0.7859706973580922
10,alex_pbe_matched_pool_coordinate,MACE-MP,ap,0.9616305828022507,0.9639995703742044,0.9662391995334807
10,alex_pbe_matched_pool_coordinate,MACE-MP,auroc,0.9299676955152221,0.9335386977245463,0.9370709731929652
10,alex_pbe_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_100,100.0,100.0,100.0
10,alex_pbe_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_1000,992.0,996.0,999.0
10,alex_pbe_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_300,300.0,300.0,300.0
10,alex_pbe_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_500,500.0,500.0,500.0
10,alex_pbe_matched_pool_coordinate,MACE-MP,expected_stable_hits_at_5000,4968.975,4979.0,4988.0
10,alex_pbe_matched_pool_coordinate,MACE-MP,normalized_ap,0.8911085301352457,0.8969386241140751,0.9027463104822201
10,alex_pbe_source_coordinate,ALIGNN-FF,ap,0.6215971017007635,0.6304094125606047,0.6397261090962653
10,alex_pbe_source_coordinate,ALIGNN-FF,auroc,0.6604253999950404,0.6682662106296615,0.6753597039974982
10,alex_pbe_source_coordinate,ALIGNN-FF,expected_stable_hits_at_100,61.0,72.0,81.0
10,alex_pbe_source_coordinate,ALIGNN-FF,expected_stable_hits_at_1000,674.0,704.0,732.0
10,alex_pbe_source_coordinate,ALIGNN-FF,expected_stable_hits_at_300,195.0,212.0,226.0
10,alex_pbe_source_coordinate,ALIGNN-FF,expected_stable_hits_at_500,342.0,363.0,383.0
10,alex_pbe_source_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,3409.0,3477.0,3548.0
10,alex_pbe_source_coordinate,ALIGNN-FF,normalized_ap,0.27085245770154187,0.2867272117139469,0.3005117007482255
10,alex_pbe_source_coordinate,CHGNet,ap,0.7221894695535862,0.7301840283905496,0.7383685807701743
10,alex_pbe_source_coordinate,CHGNet,auroc,0.7873882848266794,0.7944694783524218,0.8015294826587919
10,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_100,62.0,72.0,81.0
10,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_1000,703.0,733.0,758.025
10,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_300,197.975,216.0,231.0
10,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_500,341.0,363.0,383.0
10,alex_pbe_source_coordinate,CHGNet,expected_stable_hits_at_5000,3895.975,3954.0,4011.0
10,alex_pbe_source_coordinate,CHGNet,normalized_ap,0.46370184303498446,0.47898894904447376,0.49447481260224707
10,alex_pbe_source_coordinate,M3GNet,ap,0.7122672712461339,0.7202448756045201,0.7283953726968229
10,alex_pbe_source_coordinate,M3GNet,auroc,0.7657980192983314,0.7727273921076656,0.7794051032742698
10,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_100,64.0,73.0,82.0
10,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_1000,724.975,752.0,779.0
10,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_300,203.0,220.0,235.0
10,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_500,347.0,366.0,385.025
10,alex_pbe_source_coordinate,M3GNet,expected_stable_hits_at_5000,3912.0,3970.0,4028.025
10,alex_pbe_source_coordinate,M3GNet,normalized_ap,0.44442861872679135,0.46010867175453085,0.474839910820219
10,alex_pbe_source_coordinate,MACE-MP,ap,0.7636159818995707,0.7713850100602483,0.7789582704680704
10,alex_pbe_source_coordinate,MACE-MP,auroc,0.8326482867725203,0.8387215217027292,0.8445672319698068
10,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_100,64.0,73.0,82.0
10,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_1000,722.0,751.0,778.0
10,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_300,196.0,213.0,229.0
10,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_500,338.975,360.0,379.0
10,alex_pbe_source_coordinate,MACE-MP,expected_stable_hits_at_5000,4009.975,4065.5,4120.025
10,alex_pbe_source_coordinate,MACE-MP,normalized_ap,0.5440988353415948,0.5586223701073557,0.5732082347768728
10,alexmp20_source_coordinate,ALIGNN-FF,ap,0.637772392043553,0.6465645671549345,0.6549226563906957
10,alexmp20_source_coordinate,ALIGNN-FF,auroc,0.6661976906816244,0.673494878044299,0.6810089008366373
10,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_100,65.0,74.0,83.0
10,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_1000,684.0,714.0,742.0
10,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_300,198.0,215.0,229.0
10,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_500,341.0,363.0,382.0
10,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,3485.0,3550.0,3618.025
10,alexmp20_source_coordinate,ALIGNN-FF,normalized_ap,0.28476012213888546,0.299853050957411,0.3148158584218723
10,alexmp20_source_coordinate,CHGNet,ap,0.7401428624204779,0.7480510399301237,0.7552650080149431
10,alexmp20_source_coordinate,CHGNet,auroc,0.7971939941373732,0.8042068550701222,0.8111304457539752
10,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_100,63.0,73.0,82.0
10,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_1000,704.0,732.5,758.0
10,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_300,198.0,215.0,231.0
10,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_500,340.975,362.0,382.0
10,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_5000,3974.0,4029.0,4087.0
10,alexmp20_source_coordinate,CHGNet,normalized_ap,0.4848209244642984,0.5010843475066066,0.5160516722658346
10,alexmp20_source_coordinate,M3GNet,ap,0.7263709332851932,0.7345629882546939,0.7418865432866553
10,alexmp20_source_coordinate,M3GNet,auroc,0.7715534229142346,0.7783167987124806,0.7847543570118161
10,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_100,64.0,74.0,83.0
10,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_1000,731.0,759.0,784.0
10,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_300,204.0,220.0,235.0
10,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_500,345.0,365.0,384.0
10,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_5000,3943.975,4002.0,4056.0
10,alexmp20_source_coordinate,M3GNet,normalized_ap,0.4589325184087337,0.4738474497168523,0.48830083206143915
10,alexmp20_source_coordinate,MACE-MP,ap,0.7790770045303282,0.7867691900022826,0.7940656216396588
10,alexmp20_source_coordinate,MACE-MP,auroc,0.8399514159691915,0.8459215846064867,0.851750427387852
10,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_100,65.0,74.0,82.0
10,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_1000,728.0,756.0,780.0
10,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_300,200.0,217.0,232.0
10,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_500,341.0,362.0,380.0
10,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_5000,4082.925,4136.0,4189.0
10,alexmp20_source_coordinate,MACE-MP,normalized_ap,0.5623115214102303,0.5773233810726965,0.5925458578644434
10,mp_matched_pool_coordinate,ALIGNN-FF,ap,0.7791214450453136,0.7861285362935444,0.7931470322864344
10,mp_matched_pool_coordinate,ALIGNN-FF,auroc,0.7082263378255766,0.7151070249330748,0.7221219136397353
10,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_100,100.0,100.0,100.0
10,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_1000,947.0,959.0,972.0
10,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_300,296.0,299.0,300.0
10,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_500,490.0,496.0,500.0
10,mp_matched_pool_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,4383.975,4430.0,4478.0
10,mp_matched_pool_coordinate,ALIGNN-FF,normalized_ap,0.47680716512713506,0.48928616426468075,0.5015313495797685
