material_id,formula,mp_e_above_hull,alex_e_above_hull,abs_delta_ehull,mp_stable_exact,alex_stable_exact,discordant,quadrant,near_hull_10meV,near_hull_25meV,near_hull_50meV,ALIGNN-FF_rank,ALIGNN-FF_rank_percentile,CHGNet_rank,CHGNet_rank_percentile,MACE-MP_rank,MACE-MP_rank_percentile
mp-1014168,CsPbBr3,0.007483645000001,0.0102237029999976,0.0027400579999966,False,False,False,both_unstable,True,True,True,262,0.9128919860627178,266,0.926829268292683,271,0.9442508710801394
mp-10142,Ta3B4,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,3,0.010452961672473868,10,0.03484320557491289,10,0.03484320557491289
mp-1014219,HfZn,0.008220216666664,0.010260333333333,0.0020401166666689993,False,False,False,both_unstable,True,True,True,176,0.6132404181184669,167,0.5818815331010453,162,0.5644599303135889
mp-1014226,Zr3ZnN,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,52,0.18118466898954705,47,0.16376306620209058,44,0.15331010452961671
mp-1014227,Ti2ZnN,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,90,0.313588850174216,81,0.28222996515679444,67,0.23344947735191637
mp-1014229,Ti2Zn,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,173,0.6027874564459931,168,0.5853658536585366,160,0.5574912891986062
mp-1014230,TiZn,0.0,0.0005521000000001,0.0005521000000001,True,False,True,MP_stable_only,True,True,True,234,0.8153310104529616,212,0.7386759581881533,208,0.7247386759581882
mp-1014231,Hf2Zn,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,106,0.3693379790940767,93,0.3240418118466899,72,0.2508710801393728
mp-1014244,ZrZnN2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,62,0.21602787456445993,69,0.24041811846689895,64,0.2229965156794425
mp-1014251,HfZnN2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,34,0.11846689895470383,40,0.13937282229965156,43,0.14982578397212543
mp-1014252,Hf3ZnN,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,18,0.0627177700348432,21,0.07317073170731707,20,0.06968641114982578
mp-1014257,Ti3ZnN,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,86,0.29965156794425085,70,0.24390243902439024,59,0.20557491289198607
mp-1014265,Zr2N,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,8,0.027874564459930314,9,0.0313588850174216,9,0.0313588850174216
