model,row_id,mp_id,membership_status
ALIGNN-FF,SAS36K-00357,mp-1018072,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00358,mp-1018073,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00359,mp-1018074,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00360,mp-1018076,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00361,mp-1018077,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00362,mp-1018081,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00363,mp-1018084,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00364,mp-1018086,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00365,mp-1018087,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00366,mp-1018090,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00368,mp-1018093,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00369,mp-1018094,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00370,mp-1018095,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00371,mp-1018098,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00373,mp-10181,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00374,mp-1018100,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00375,mp-1018102,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00376,mp-1018103,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00377,mp-1018105,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00378,mp-1018106,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00379,mp-1018107,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00380,mp-1018113,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00381,mp-1018115,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00383,mp-1018117,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00385,mp-1018122,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00386,mp-1018124,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00388,mp-1018128,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00389,mp-1018129,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00390,mp-1018131,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00391,mp-1018132,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00392,mp-1018133,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00393,mp-1018135,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00394,mp-1018136,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00395,mp-1018137,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00396,mp-1018138,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00398,mp-1018140,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00399,mp-1018146,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00400,mp-1018147,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00401,mp-1018148,membership_identifiers_unavailable
