denominator,model_name,label_view,K,K_effective,n_ranked,stable_n,precision_at_k,recall_at_k,stable_yield_at_k,uncertain_fraction_at_k,false_positive_burden_at_k,DAF_at_k,metric_status
D5_full_complete,M3GNet,source_union,300,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,M3GNet,source_union,500,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,M3GNet,source_union,1000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,M3GNet,source_union,5000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,M3GNet,source_union,10000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,M3GNet,consensus,100,100,24614,50,0.5,0.005270369979972594,0.5,0.0,0.5,1.2972488668704545,ok
D5_full_complete,M3GNet,consensus,300,300,24614,135,0.45,0.014229998945926005,0.45,0.0,0.55,1.167523980183409,ok
D5_full_complete,M3GNet,consensus,500,500,24614,212,0.424,0.0223463687150838,0.424,0.0,0.5760000000000001,1.1000670391061453,ok
D5_full_complete,M3GNet,consensus,1000,1000,24614,413,0.413,0.04353325603457363,0.413,0.0,0.587,1.0715275640349953,ok
D5_full_complete,M3GNet,consensus,5000,5000,24614,1799,0.3598,0.18962791187941394,0.3598,0.0,0.6402,0.933500284599979,ok
D5_full_complete,M3GNet,consensus,10000,10000,24614,3552,0.3552,0.3744070833772531,0.3552,0.0,0.6448,0.9215655950247709,ok
D5_full_complete,M3GNet,uncertain,100,100,36769,39,0.39,0.0032085561497326204,0.39,0.39,0.61,1.1797540106951871,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,M3GNet,uncertain,300,300,36769,113,0.37666666666666665,0.009296585767174003,0.37666666666666665,0.37666666666666665,0.6233333333333333,1.1394205402440696,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,M3GNet,uncertain,500,500,36769,176,0.352,0.014479638009049774,0.352,0.352,0.648,1.0648036199095021,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,M3GNet,uncertain,1000,1000,36769,342,0.342,0.0281365693130399,0.342,0.342,0.6579999999999999,1.0345535170711642,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,M3GNet,uncertain,5000,5000,36769,1638,0.3276,0.13475935828877006,0.3276,0.3276,0.6724,0.9909933689839572,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,M3GNet,uncertain,10000,10000,36769,3129,0.3129,0.2574249280131633,0.3129,0.3129,0.6871,0.9465257178116001,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,M3GNet,audit_view,100,100,36769,31,0.31,0.0032676293875830084,0.31,0.39,0.69,1.2014746495203963,ok
D5_full_complete,M3GNet,audit_view,300,300,36769,86,0.2866666666666667,0.009065036365552863,0.2866666666666667,0.37666666666666665,0.7133333333333334,1.1110410737500438,ok
D5_full_complete,M3GNet,audit_view,500,500,36769,146,0.292,0.015389480341519974,0.292,0.352,0.708,1.1317116053546956,ok
D5_full_complete,M3GNet,audit_view,1000,1000,36769,279,0.279,0.029408664488247076,0.279,0.342,0.721,1.0813271845683567,ok
D5_full_complete,M3GNet,audit_view,5000,5000,36769,1248,0.2496,0.13154843470011596,0.2496,0.3276,0.7504,0.9673808790977125,ok
D5_full_complete,M3GNet,audit_view,10000,10000,36769,2401,0.2401,0.253083166438284,0.2401,0.3129,0.7599,0.9305614946769263,ok
D5_full_complete,MACE-MP,mp_native,100,100,36769,61,0.61,0.004059629974710502,0.61,0.0,0.39,1.4926853454013045,ok
D5_full_complete,MACE-MP,mp_native,300,300,36769,168,0.56,0.011180620258219087,0.56,0.0,0.43999999999999995,1.3703340875815255,ok
D5_full_complete,MACE-MP,mp_native,500,500,36769,265,0.53,0.017636097431119394,0.53,0.0,0.47,1.296923332889658,ok
