denominator,model_name,label_view,K,metric,value,ci_low_95,ci_high_95,ci_denominator_n,bootstrap_method,metric_status
D5_full_complete,ALIGNN-FF,alex_pbe_native,500,uncertain_fraction@500,0.0,0.0,0.0,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,500,false_positive_burden@500,0.762,0.7246718012864269,0.7993281987135731,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,500,recall@500,0.009780553957425824,0.008031868213851656,0.01152923970099999,12167.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,500,DAF@500,0.7192423769211802,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alex_pbe_native,1000,precision@1000,0.299,0.27062403273190494,0.32737596726809504,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,1000,stable_yield@1000,0.299,0.27062403273190494,0.32737596726809504,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,1000,uncertain_fraction@1000,0.0,0.0,0.0,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,1000,false_positive_burden@1000,0.7010000000000001,0.6726240327319051,0.7293759672680951,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,1000,recall@1000,0.024574669187145556,0.02182357681801433,0.027325761556276782,12167.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,1000,DAF@1000,0.903586011342155,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alex_pbe_native,5000,precision@5000,0.2894,0.27683006782974545,0.30196993217025453,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,5000,stable_yield@5000,0.2894,0.27683006782974545,0.30196993217025453,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,5000,uncertain_fraction@5000,0.0,0.0,0.0,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,5000,false_positive_burden@5000,0.7106,0.6980300678297455,0.7231699321702545,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,5000,recall@5000,0.11892824854113586,0.11317633343569937,0.12468016364657235,12167.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,5000,DAF@5000,0.8745745541218048,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alex_pbe_native,10000,precision@10000,0.2917,0.2827909190138601,0.3006090809861399,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,10000,stable_yield@10000,0.2917,0.2827909190138601,0.3006090809861399,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,10000,uncertain_fraction@10000,0.0,0.0,0.0,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,10000,false_positive_burden@10000,0.7082999999999999,0.69939091901386,0.7172090809861399,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,10000,recall@10000,0.23974685625051367,0.2321607330721134,0.24733297942891394,12167.0,deterministic_binomial_topk_approximation_phase2_v1,ok
