cluster,threshold_meV_per_atom,endpoint,K,model,winner_frequency,winner_equivalent_replicates,bootstrap_replicates
chemical_system,10,mp_source_coordinate,100,MACE-MP,0.152,152.0,1000
chemical_system,10,mp_source_coordinate,300,ALIGNN-FF,0.1795,179.5,1000
chemical_system,10,mp_source_coordinate,300,CHGNet,0.107,107.0,1000
chemical_system,10,mp_source_coordinate,300,M3GNet,0.614,614.0,1000
chemical_system,10,mp_source_coordinate,300,MACE-MP,0.0995,99.5,1000
chemical_system,10,mp_source_coordinate,500,ALIGNN-FF,0.32558333333333334,325.5833333333333,1000
chemical_system,10,mp_source_coordinate,500,CHGNet,0.13691666666666666,136.91666666666666,1000
chemical_system,10,mp_source_coordinate,500,M3GNet,0.3519166666666667,351.9166666666667,1000
chemical_system,10,mp_source_coordinate,500,MACE-MP,0.18558333333333335,185.58333333333334,1000
chemical_system,10,mp_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,10,mp_source_coordinate,1000,CHGNet,0.0,0.0,1000
chemical_system,10,mp_source_coordinate,1000,M3GNet,0.1565,156.5,1000
chemical_system,10,mp_source_coordinate,1000,MACE-MP,0.8435,843.5,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,CHGNet,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,M3GNet,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,MACE-MP,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,CHGNet,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,M3GNet,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,MACE-MP,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,CHGNet,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,M3GNet,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,MACE-MP,0.25,250.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,CHGNet,0.7515,751.5,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,M3GNet,0.171,171.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,MACE-MP,0.0775,77.5,1000
chemical_system,25,alex_pbe_source_coordinate,100,ALIGNN-FF,0.274,274.0,1000
chemical_system,25,alex_pbe_source_coordinate,100,CHGNet,0.1635,163.5,1000
chemical_system,25,alex_pbe_source_coordinate,100,M3GNet,0.19533333333333333,195.33333333333334,1000
chemical_system,25,alex_pbe_source_coordinate,100,MACE-MP,0.3671666666666667,367.1666666666667,1000
chemical_system,25,alex_pbe_source_coordinate,300,ALIGNN-FF,0.02383333333333333,23.833333333333332,1000
chemical_system,25,alex_pbe_source_coordinate,300,CHGNet,0.081,81.0,1000
chemical_system,25,alex_pbe_source_coordinate,300,M3GNet,0.8088333333333334,808.8333333333334,1000
chemical_system,25,alex_pbe_source_coordinate,300,MACE-MP,0.08633333333333333,86.33333333333333,1000
chemical_system,25,alex_pbe_source_coordinate,500,ALIGNN-FF,0.002,2.0,1000
chemical_system,25,alex_pbe_source_coordinate,500,CHGNet,0.0,0.0,1000
chemical_system,25,alex_pbe_source_coordinate,500,M3GNet,0.969,969.0,1000
chemical_system,25,alex_pbe_source_coordinate,500,MACE-MP,0.029,29.0,1000
chemical_system,25,alex_pbe_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,25,alex_pbe_source_coordinate,1000,CHGNet,0.002333333333333333,2.333333333333333,1000
chemical_system,25,alex_pbe_source_coordinate,1000,M3GNet,0.5268333333333334,526.8333333333334,1000
chemical_system,25,alex_pbe_source_coordinate,1000,MACE-MP,0.4708333333333333,470.8333333333333,1000
chemical_system,25,alexmp20_source_coordinate,100,ALIGNN-FF,0.6043333333333334,604.3333333333334,1000
chemical_system,25,alexmp20_source_coordinate,100,CHGNet,0.134,134.0,1000
chemical_system,25,alexmp20_source_coordinate,100,M3GNet,0.099,99.0,1000
chemical_system,25,alexmp20_source_coordinate,100,MACE-MP,0.16266666666666665,162.66666666666666,1000
chemical_system,25,alexmp20_source_coordinate,300,ALIGNN-FF,0.017083333333333332,17.083333333333332,1000
chemical_system,25,alexmp20_source_coordinate,300,CHGNet,0.09508333333333333,95.08333333333333,1000
chemical_system,25,alexmp20_source_coordinate,300,M3GNet,0.7214166666666666,721.4166666666666,1000
chemical_system,25,alexmp20_source_coordinate,300,MACE-MP,0.16641666666666666,166.41666666666666,1000
chemical_system,25,alexmp20_source_coordinate,500,ALIGNN-FF,0.03133333333333333,31.333333333333332,1000
chemical_system,25,alexmp20_source_coordinate,500,CHGNet,0.02683333333333333,26.833333333333332,1000
chemical_system,25,alexmp20_source_coordinate,500,M3GNet,0.6793333333333333,679.3333333333334,1000
chemical_system,25,alexmp20_source_coordinate,500,MACE-MP,0.2625,262.5,1000
chemical_system,25,alexmp20_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,25,alexmp20_source_coordinate,1000,CHGNet,0.001,1.0,1000
chemical_system,25,alexmp20_source_coordinate,1000,M3GNet,0.5785,578.5,1000
chemical_system,25,alexmp20_source_coordinate,1000,MACE-MP,0.4205,420.5,1000
chemical_system,25,mp_matched_pool_coordinate,100,ALIGNN-FF,0.25,250.0,1000
chemical_system,25,mp_matched_pool_coordinate,100,CHGNet,0.25,250.0,1000
chemical_system,25,mp_matched_pool_coordinate,100,M3GNet,0.25,250.0,1000
chemical_system,25,mp_matched_pool_coordinate,100,MACE-MP,0.25,250.0,1000
chemical_system,25,mp_matched_pool_coordinate,300,ALIGNN-FF,0.4075833333333333,407.5833333333333,1000
chemical_system,25,mp_matched_pool_coordinate,300,CHGNet,0.12125,121.25,1000
chemical_system,25,mp_matched_pool_coordinate,300,M3GNet,0.17908333333333334,179.08333333333334,1000
chemical_system,25,mp_matched_pool_coordinate,300,MACE-MP,0.2920833333333333,292.0833333333333,1000
chemical_system,25,mp_matched_pool_coordinate,500,ALIGNN-FF,0.3075833333333333,307.5833333333333,1000
chemical_system,25,mp_matched_pool_coordinate,500,CHGNet,0.12441666666666668,124.41666666666667,1000
chemical_system,25,mp_matched_pool_coordinate,500,M3GNet,0.2729166666666667,272.9166666666667,1000
chemical_system,25,mp_matched_pool_coordinate,500,MACE-MP,0.2950833333333333,295.0833333333333,1000
chemical_system,25,mp_matched_pool_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,25,mp_matched_pool_coordinate,1000,CHGNet,0.4513333333333333,451.3333333333333,1000
chemical_system,25,mp_matched_pool_coordinate,1000,M3GNet,0.4393333333333333,439.3333333333333,1000
chemical_system,25,mp_matched_pool_coordinate,1000,MACE-MP,0.10933333333333332,109.33333333333333,1000
chemical_system,25,mp_source_coordinate,100,ALIGNN-FF,0.40125,401.25,1000
chemical_system,25,mp_source_coordinate,100,CHGNet,0.12808333333333335,128.08333333333334,1000
chemical_system,25,mp_source_coordinate,100,M3GNet,0.19558333333333333,195.58333333333334,1000
chemical_system,25,mp_source_coordinate,100,MACE-MP,0.2750833333333333,275.0833333333333,1000
chemical_system,25,mp_source_coordinate,300,ALIGNN-FF,0.16216666666666665,162.16666666666666,1000
chemical_system,25,mp_source_coordinate,300,CHGNet,0.1095,109.5,1000
chemical_system,25,mp_source_coordinate,300,M3GNet,0.6881666666666666,688.1666666666666,1000
chemical_system,25,mp_source_coordinate,300,MACE-MP,0.04016666666666666,40.166666666666664,1000
chemical_system,25,mp_source_coordinate,500,ALIGNN-FF,0.10741666666666667,107.41666666666667,1000
chemical_system,25,mp_source_coordinate,500,CHGNet,0.015583333333333334,15.583333333333334,1000
chemical_system,25,mp_source_coordinate,500,M3GNet,0.7810833333333334,781.0833333333334,1000
chemical_system,25,mp_source_coordinate,500,MACE-MP,0.09591666666666668,95.91666666666667,1000
chemical_system,25,mp_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,25,mp_source_coordinate,1000,CHGNet,0.002,2.0,1000
chemical_system,25,mp_source_coordinate,1000,M3GNet,0.2845,284.5,1000
chemical_system,25,mp_source_coordinate,1000,MACE-MP,0.7135,713.5,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,CHGNet,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,M3GNet,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,MACE-MP,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,CHGNet,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,M3GNet,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,MACE-MP,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,CHGNet,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,M3GNet,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,MACE-MP,0.25,250.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,0.00025,0.25,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,CHGNet,0.4770833333333333,477.0833333333333,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,M3GNet,0.4650833333333333,465.0833333333333,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,MACE-MP,0.05758333333333333,57.58333333333333,1000
chemical_system,50,alex_pbe_source_coordinate,100,ALIGNN-FF,0.2738333333333333,273.8333333333333,1000
chemical_system,50,alex_pbe_source_coordinate,100,CHGNet,0.154,154.0,1000
chemical_system,50,alex_pbe_source_coordinate,100,M3GNet,0.18583333333333335,185.83333333333334,1000
chemical_system,50,alex_pbe_source_coordinate,100,MACE-MP,0.3863333333333333,386.3333333333333,1000
chemical_system,50,alex_pbe_source_coordinate,300,ALIGNN-FF,0.022416666666666668,22.416666666666668,1000
chemical_system,50,alex_pbe_source_coordinate,300,CHGNet,0.03741666666666667,37.416666666666664,1000
chemical_system,50,alex_pbe_source_coordinate,300,M3GNet,0.84975,849.75,1000
chemical_system,50,alex_pbe_source_coordinate,300,MACE-MP,0.09041666666666667,90.41666666666667,1000
chemical_system,50,alex_pbe_source_coordinate,500,ALIGNN-FF,0.002,2.0,1000
chemical_system,50,alex_pbe_source_coordinate,500,CHGNet,0.026333333333333334,26.333333333333332,1000
chemical_system,50,alex_pbe_source_coordinate,500,M3GNet,0.9348333333333334,934.8333333333334,1000
chemical_system,50,alex_pbe_source_coordinate,500,MACE-MP,0.036833333333333336,36.833333333333336,1000
