row_id,formula,chemical_system,source_native_mp_ehull,source_native_alex_pbe_ehull,source_native_mp_label,source_native_alex_pbe_label,discordant_zero_mev,mp_ehull_mev,alexandria_ehull_mev
SAS36K-00204,Ca2As,As-Ca,0.04712873611111,0.043427683,False,False,False,47.12873611111,43.427683
SAS36K-00205,MgNi,Mg-Ni,0.044288365763889,0.053084616,False,False,False,44.288365763889,53.084616000000004
SAS36K-00206,LaB2Ir3,B-Ir-La,0.0,0.022520622,True,False,True,0.0,22.520622
SAS36K-00207,ScBIr3,B-Ir-Sc,0.0,0.06730704,True,False,True,0.0,67.30704
SAS36K-00208,ScB4Ir3,B-Ir-Sc,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00209,Cs2Se,Cs-Se,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00210,Cs2Se,Cs-Se,0.004232759166665,0.020389248,False,False,False,4.232759166665001,20.389248
SAS36K-00211,Cs2Se,Cs-Se,0.004192514999999,0.020389248,False,False,False,4.192514999999,20.389248
SAS36K-00212,Mn3B4,B-Mn,0.018044119047617,0.04519085,False,False,False,18.044119047617002,45.19085
SAS36K-00213,PbS,Pb-S,0.056455185,0.055491656,False,False,False,56.455185,55.491656
SAS36K-00214,SbIr,Ir-Sb,0.081177980624999,0.08693305,False,False,False,81.177980624999,86.93305
SAS36K-00215,V5SiB2,B-Si-V,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00216,CrFeCoNi,Co-Cr-Fe-Ni,0.066585322916667,0.05569799,False,False,False,66.585322916667,55.697990000000004
SAS36K-00217,TmNi4B,B-Ni-Tm,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00218,Sc3BPb,B-Pb-Sc,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00219,VS2,S-V,0.0,0.003985052,True,False,True,0.0,3.985052
SAS36K-00220,VS2,S-V,0.017861314999999,0.018288175,False,False,False,17.861314999999,18.288175
SAS36K-00221,BeGeP2,Be-Ge-P,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00222,Ca3BiAs,As-Bi-Ca,0.0878332485,0.11154784,False,False,False,87.8332485,111.54784
SAS36K-00223,Ca3SbN,Ca-N-Sb,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00224,Ba3BiN,Ba-Bi-N,0.056357219999997,0.05932818,False,False,False,56.357219999997,59.32818
SAS36K-00225,Sr3PN,N-P-Sr,0.0,0.047620654,True,False,True,0.0,47.620654
SAS36K-00226,Ba3SbN,Ba-N-Sb,0.055228376999998,0.05793542,False,False,False,55.228376999998,57.93542
SAS36K-00227,Ti2ReB2,B-Re-Ti,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00228,Sc3SnB,B-Sc-Sn,0.0,0.007824527,True,False,True,0.0,7.824527
SAS36K-00229,TiSCl,Cl-S-Ti,0.00955604444444,0.025991492,False,False,False,9.55604444444,25.991492
SAS36K-00230,ZrMn2,Mn-Zr,0.002352779166669,0.0015447834,False,False,False,2.352779166669,1.5447834
SAS36K-00231,Sc3TlB,B-Sc-Tl,0.033947740222224,0.06268407,False,False,False,33.947740222224,62.68406999999999
SAS36K-00232,ZrN,N-Zr,0.049152732499997,0.056355774,False,False,False,49.152732499997,56.355774
SAS36K-00233,Ta3B4,B-Ta,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00234,HfZn,Hf-Zn,0.008220216666664,0.008420432,False,False,False,8.220216666664001,8.420432
SAS36K-00235,Zr3ZnN,N-Zn-Zr,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00236,Ti2ZnN,N-Ti-Zn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00237,Ti2Zn,Ti-Zn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00238,TiZn,Ti-Zn,0.0,0.00445016,True,False,True,0.0,4.4501599999999994
SAS36K-00239,Hf2Zn,Hf-Zn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00240,ZrZnN2,N-Zn-Zr,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00241,HfZnN2,Hf-N-Zn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00242,Hf3ZnN,Hf-N-Zn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00243,Ti3ZnN,N-Ti-Zn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00244,Zr2N,N-Zr,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00245,Cr3N2,Cr-N,0.087925941333336,0.099352784,False,False,False,87.925941333336,99.352784
SAS36K-00246,La(SiIr)2,Ir-La-Si,0.018271611,0.011096347,False,False,False,18.271611,11.096347
SAS36K-00247,MnSbIr,Ir-Mn-Sb,0.126658778333333,0.10578354,False,False,False,126.658778333333,105.78354
SAS36K-00248,KZnSb,K-Sb-Zn,0.012214596666666,0.010005287,False,False,False,12.214596666665999,10.005287
SAS36K-00249,TiZnN2,N-Ti-Zn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00250,KMnO2,K-Mn-O,0.057312239791667,0.05687482,False,False,False,57.312239791667,56.87482
SAS36K-00251,MgMn3O6,Mg-Mn-O,0.084730920458334,0.0795785,False,False,False,84.730920458334,79.57849999999999
SAS36K-00252,MgMnO2,Mg-Mn-O,0.123423536249999,0.079858355,False,False,False,123.42353624999899,79.858355
SAS36K-00253,NaMn4O8,Mn-Na-O,0.003762951031476,0.00501408,False,False,False,3.7629510314759997,5.01408
SAS36K-00254,MgSiAs2,As-Mg-Si,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00255,La3Si2,La-Si,0.003003086900001,0.00364435,False,False,False,3.0030869000009996,3.64435
SAS36K-00256,MgGeAs2,As-Ge-Mg,0.006912716423611,0.019058332,False,False,False,6.912716423611,19.058332
