cutoff_mev_atom,source_pair,stratum_type,stratum,n,chemical_system_n,conflict_n,conflict_fraction,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_unit,n_bootstrap,bootstrap_seed,evidence_scope
10,MP--alex-mp-20,element_count,ternary,22108,12061,2419,0.1094174054640854,0.10464170872494988,0.11447662022942302,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,element_count,quaternary_or_higher,7315,5264,617,0.08434723171565277,0.07690219223382146,0.0920127168688363,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,element_family,transition_metal_present,27596,14434,2812,0.10189882591679954,0.09748222886510764,0.10648541217079324,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,element_family,lanthanide_present,13384,7762,1644,0.1228332337118948,0.11660876985310159,0.12930123434174962,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,element_family,oxygen_present,9308,4393,725,0.0778899871078642,0.07090987137579945,0.08553455827005395,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--alex-mp-20,element_family,halogen_present,4954,2810,692,0.13968510294711345,0.12250856725267789,0.15939455414742115,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,overall,all,36802,19361,4173,0.11339057659909788,0.10903108180826009,0.11777924619635786,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_count,unary,120,61,18,0.15,0.08527131782945736,0.21876370614035068,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_count,binary,7259,1975,1013,0.13955090232814438,0.12879023143825383,0.15122522514238756,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_count,ternary,22108,12061,2435,0.11014112538447621,0.10477324968330506,0.11586904353173903,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,707,0.09665071770334928,0.08778208566674961,0.10568910960196264,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,3264,0.11827801130598638,0.11310138196472039,0.12372162901692625,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,1622,0.12118947997609085,0.11480683011979184,0.12749791912442676,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,981,0.10539321014181349,0.09483866044132701,0.11743746133429456,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--official_Alexandria_PBE,element_family,halogen_present,4954,2810,570,0.11505853855470327,0.09730852181759377,0.13507161256904873,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,overall,all,36802,19361,2995,0.08138144666050758,0.07789102419525748,0.08479503437986258,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,element_count,unary,120,61,15,0.125,0.06086297760210804,0.2,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,element_count,binary,7259,1975,586,0.08072737291637967,0.07177510331500543,0.08987197840581905,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
