reduced_formula,official_alexandria_formula_prefilter_candidates
LiMn9Se10,1
LiMnAlO3,1
LiMnBO3,9
LiMnCrO4,1
LiMnCuO4,1
LiMnF3,47
LiMnF4,41
LiMnF5,16
LiMnF6,8
LiMnFeO4,2
LiMnIr2,19
LiMnN2,7
LiMnNiO4,1
LiMnO2,28
LiMnOF2,15
LiMnP,13
LiMnP2O7,28
LiMnPH2O5,6
LiMnPHO5,3
LiMnPO4,64
LiMnPO5,6
LiMnPd2,4
LiMnPt2,14
LiMnRhO4,1
LiMnSO4F,2
LiMnSbO4,3
LiMnSiO4,13
LiMnSnO4,2
LiMnVF6,4
LiMnVO4,5
LiMnVP2(HO5)2,8
LiMnVP2(O4F)2,16
LiMo(PO4)2,10
LiMoIO6,2
LiMoN2,9
LiMoO2,9
LiMoP2O7,8
LiMoP2WO11,1
LiMoS2,5
LiN3,3
LiNO3,5
LiNb(TeO4)3,4
LiNb2(PO5)2,3
LiNb2O4,3
LiNb3O7F,1
LiNbCrO4,2
LiNbF6,7
LiNbFeO4,5
LiNbIr2,4
LiNbN2,7
LiNbNiO4,2
LiNbO2,10
LiNbO3,12
LiNbRh2,4
LiNbRu2,5
LiNbS2,10
LiNbSe2,11
LiNbTe2WO12,2
LiNbVO4,5
LiNbWO6,4
LiNd(MoO4)2,3
LiNd(WO4)2,2
LiNd2Al,4
LiNd2Ga,4
LiNd2HO3,1
LiNd2Ir,4
LiNd2IrO6,1
LiNd2Os,3
LiNd2OsO6,1
LiNd2Rh,5
LiNd2Ru,4
LiNd2RuO6,1
LiNdAu2,7
LiNdGe,8
LiNdGe2,4
LiNdHg2,5
LiNdIn2,4
LiNdO2,5
LiNdS2,8
LiNdSe2,6
LiNdSn2,5
LiNdTi2O6,2
LiNdTiO4,1
LiNdTl2,4
LiNdZn2,3
LiNi(CO3)2,1
LiNi(PO3)3,12
LiNi(PS3)2,1
LiNi(WO4)2,1
LiNi2Ge,4
LiNi2O2F,1
LiNi2OF3,5
LiNi2Sb,10
LiNi2Sn,5
LiNi3,16
LiNi3O3F,1
LiNi3O4,3
LiNi4O4F,1
LiNi4O5,2
LiNi5O5F,1
LiNi6O6F,1
LiNi7O7F,1
LiNi9O10,1
LiNiAsO4,4
LiNiBO3,7
LiNiF3,5
LiNiH2,8
LiNiO2,29
LiNiOF,2
LiNiP,13
LiNiP2O7,16
LiNiPHO5,1
LiNiPO4,42
LiNiRhF6,1
LiNiS2,9
LiNiSO4F,2
LiNiSbO4,4
LiNiSnO4,3
LiO2,6
LiO8,6
LiOsF6,4
LiOsO3,7
LiP,36
LiP(HO)2,2
LiP2WO7,6
LiP2WO8,6
LiPF6,4
LiPN2,6
LiPWO4F,1
LiPb,29
LiPb3,18
LiPd,24
LiPd2Au,10
LiPd2Pb,8
LiPd3,7
LiPd7,1
LiPdAu2,10
LiPr2Al,3
LiPr2Ga,3
LiPr2Ir,5
LiPr2IrO6,2
LiPr2Os,4
LiPr2OsO6,1
LiPr2Rh,5
LiPr2Ru,5
LiPr2RuO6,1
LiPrAu2,7
LiPrGe,10
LiPrGe2,3
LiPrHg2,5
LiPrO2,4
LiPrS2,6
LiPrSn2,6
LiPrTl2,3
LiPrZn2,3
LiPt,36
LiPt2,21
LiPt3,18
LiPt3O4,1
LiPt7,1
LiPtF6,5
LiRe(OF2)2,1
LiReN2,9
LiReO3,4
LiRh,31
LiRh2Pb,12
LiRh3,14
LiRhF6,10
LiRhO2,14
LiRu2W,16
LiRuF6,9
LiRuN,4
LiRuRhO4,1
LiS4,3
LiSO3F,1
LiSO4,3
LiSb(TeO4)3,4
LiSb3,14
LiSb3(PO5)2,1
LiSbF6,6
LiSbO2,9
LiSbO3,10
LiSbPHO5,1
LiSbPd2,4
LiSbRh2,12
LiSbS,1
LiSbS2,10
LiSbSe2,20
LiSbTe2,20
LiSbTe2WO12,1
LiSbWO6,4
LiSc(SiO3)2,2
LiSc(TlCl3)2,2
LiSc2Au,11
LiSc2Ga,4
LiSc2Ir,14
LiSc2Os,15
LiSc2Pd,7
LiSc2Pt,9
LiSc2Rh,13
LiSc2Ru,15
LiScAs2O7,2
LiScAu2,8
LiScF4,4
LiScHg2,10
LiScI3,4
LiScIn2,12
LiScO2,8
LiScPd2,4
LiScPt2,10
LiScRh2,13
LiScS2,14
LiScTl2,13
LiScVO4,2
LiSi,35
LiSi2BiO6,2
LiSi2N3,3
LiSiAg2,15
LiSiB,38
LiSiBO4,1
LiSiBiO4,21
LiSiIr2,17
LiSiNO,2
LiSiNi2,12
LiSiNiO4,1
LiSiPd2,5
LiSiPt2,16
LiSiRh2,14
LiSiRu2,18
LiSm(CuP)2,1
LiSm(WO4)2,3
LiSm2Al,3
LiSm2Cr2O8,2
LiSm2Ga,4
LiSm2Ir,4
LiSm2IrO6,1
LiSm2Os,4
LiSm2OsO6,1
LiSm2Ru,4
LiSm2RuO6,1
LiSmAu2,5
LiSmGe,9
LiSmGe2,5
LiSmHg2,5
LiSmIn2,4
LiSmO2,4
LiSmS2,7
LiSmSe2,6
LiSmSn2,5
LiSmTl2,4
LiSn,21
LiSn2N3,2
LiSn3,8
LiSn4Au3,1
LiSn4Ir,1
LiSn4Rh,1
LiSn4Ru,1
LiSnAu,6
LiSnAu2,6
LiSnCl3,6
LiSnIr2,3
LiSnN,5
LiSnPHO5,3
LiSnPO4,15
LiSnPd2,5
LiSnPt2,7
LiSnRh2,4
LiSnS2,10
LiTa2CuO6,1
LiTa2O6,2
LiTaF6,4
LiTaGeO5,4
LiTaIr2,16
LiTaO3,14
LiTaRh2,13
LiTaRu2,17
LiTaS2,10
LiTaWO6,4
LiTb(CuP)2,1
LiTb(WO4)2,2
LiTb2Ir,4
LiTb2RuO6,1
LiTb5Sn3,1
LiTbAu2,4
LiTbGe,9
LiTbHg2,4
LiTbIn2,5
LiTbO2,5
LiTbS2,8
LiTbSe2,7
LiTbTl2,4
LiTeHO4,2
LiTeO3,5
LiTePd2,3
LiTi(SiO3)2,3
LiTi2BiO6,1
LiTi2Ir,4
LiTi2Mn3O10,1
LiTi2N3,3
LiTi2O4,15
LiTi2VO6,3
LiTi3Nb(CuO4)3,1
LiTi3O4,2
LiTi3O6,4
LiTi3VO8,1
LiTi4O6,2
LiTi4O8,6
LiTiAlO4,1
LiTiCrO4,3
LiTiFe2O5,1
LiTiFeO4,8
LiTiH6(OF3)2,4
LiTiIr2,4
LiTiMnO4,2
LiTiNiO4,1
LiTiO2,17
LiTiP2O7,10
LiTiPO4F,1
LiTiPd2,8
LiTiPt2,8
LiTiRh2,4
LiTiRhO4,1
LiTiS2,12
LiTiSe2,10
LiTiSiO4,5
LiTiTe2,6
LiTiV2O6,2
LiTiV3O10,1
LiTiVO5,2
LiTl,31
LiTl2GaF6,2
LiTl2InCl6,2
LiTl2InF6,1
LiTl2Pd,6
LiTl2Rh,12
LiTl3,17
LiTl6C2(O3F)2,2
LiTlO2,24
LiTlPHO3,1
LiTlPd2,9
LiTm2Al,4
LiTm2Au,3
LiTm2Co,4
LiTm2Ga,4
LiTm2In,3
LiTm2Ir,3
LiTm2Pt,3
LiTm2Rh,4
LiTm2Ru,4
LiTmAu2,3
LiTmGe,8
LiTmHg2,4
LiTmIn2,5
LiTmO2,3
LiTmPd2,3
LiTmPt2,5
LiTmRh2,3
LiTmTl2,5
LiV(CO3)2,9
LiV(FeO2)4,1
LiV(OF)2,8
LiV(PO3)3,9
LiV(PO4)2,9
LiV(SiO3)2,4
LiV(TeO4)3,4
LiV2(CO3)4,7
LiV2(SiO4)2,4
LiV2CrO6,3
LiV2F5,2
LiV2F6,1
LiV2F7,10
LiV2H4(OF5)2,1
LiV2N3,3
LiV2NiO6,3
LiV2O2F3,5
LiV2O3F,5
LiV2O4,10
LiV2O5,6
LiV2OF5,22
LiV2OF7,2
LiV2Zn2(SiO5)2,5
LiV3(O2F)2,3
LiV3(OF2)4,1
LiV3(OF3)2,3
LiV3O4,2
LiV3O5F,3
LiV3O8,6
LiV3OF11,9
LiV3Zn2O8,4
LiV4CuO12,2
LiV4O10,3
LiV4O5F7,12
LiV4O8,4
LiV4OF11,13
LiV5O10,2
LiV5O7F,1
LiV6O11F,5
LiV6O7F5,12
LiVBO3,2
LiVBO4,7
LiVCdF6,1
LiVCrO4,4
LiVCrP2(O4F)2,10
LiVCuO4,6
LiVF3,15
LiVF4,29
LiVF5,21
LiVF6,11
LiVFeO4,5
LiVFeP2(O4F)2,3
LiVGaO4,1
LiVGeO5,2
LiVH2OF5,1
LiVIr2,4
LiVMoO6,1
LiVN2,8
LiVNiO4,3
LiVO2,18
LiVO2F,3
LiVO3,14
LiVOF2,7
LiVOF3,19
LiVOF4,3
LiVP3HO10,5
LiVPHO5,2
LiVPO4,10
LiVPO5,18
LiVRh2,6
LiVS2,12
LiVSe2,9
LiVSiO4,27
LiVSiO5,3
LiVSnO4,2
LiVTe(WO6)2,1
LiVTe2WO12,1
LiVWO6,3
LiY(CuP)2,1
LiY(MoO4)2,3
LiY2Al,10
LiY2Ga,6
LiY2Hg,12
LiY2Ir,11
LiY2Os,11
LiY2Pt,10
LiY2Rh,11
LiY2Ru,11
LiY2Ti2S2O5,1
LiY2Tl,14
LiY3WO8,2
LiY5(MoO6)2,3
LiYAu2,9
LiYF4,3
LiYGa4,3
LiYGe,28
LiYHg2,10
LiYMg14,3
LiYMg6,3
LiYMg6O8,2
LiYMo3O8,1
LiYO2,7
LiYPd2,5
LiYS2,13
LiYSe2,20
LiYSi,29
LiYTl2,11
LiYb(CuP)2,1
LiYb2Al,1
LiYb2Cd,1
LiYb2Cl5,1
LiYb2Ga,1
LiYb2In,2
LiYb2Ir,1
LiYb2Pd,1
LiYb2Rh,1
LiYb2Tl,1
LiYb3,3
LiYbAu2,2
LiYbGe,3
LiYbGe2,1
LiYbPb,3
LiYbPb2,2
LiYbPd2,2
LiYbTl2,2
LiZn,37
LiZn(FeO2)4,1
LiZn2Ag,20
LiZn2AgWO6,3
LiZn2Au,18
LiZn2Ir,16
LiZn2Ni,15
LiZn2Pd,7
LiZn2Pt,9
LiZn2Rh,12
LiZn3,16
LiZnAg2,16
LiZnAs,9
LiZnAu2,13
LiZnBO3,4
LiZnCd2,13
LiZnCu2,18
LiZnFeO3,1
LiZnGe,6
LiZnIO4,2
LiZnN,5
LiZnNi2,18
LiZnO2,8
LiZnP,11
LiZnPS4,1
LiZnPd2,6
LiZnPt2,19
LiZnRhF6,2
LiZnSb,11
LiZr2Ir,11
LiZr2N3,4
LiZr2Os,10
LiZr2Re,13
LiZrAu2,10
LiZrIr2,16
LiZrO2,10
LiZrPd2,5
LiZrPt2,14
LiZrRh2,8
LiZrS2,11
LiZrSe2,18
Lu,9
Lu(Al2Cr)4,1
Lu(Al2Cu)4,1
Lu(Al2Fe)4,1
Lu(AlC)3,1
Lu(AlCr)6,1
Lu(AlCu)6,1
Lu(AlGe)2,3
Lu(BC)2,3
Lu(BRh)4,3
Lu(BiO2)3,1
Lu(Co2Ge)2,1
Lu(CoB)4,3
Lu(CoGe)2,2
Lu(CoGe)6,1
Lu(CrFe5)2,1
Lu(CuO2)2,1
Lu(CuS)3,2
Lu(CuSi)2,2
Lu(Fe2Ge)2,1
Lu(Fe5Mo)2,1
Lu(Fe5Si)2,2
Lu(FeB)2,1
Lu(FeGe)6,2
Lu(FeO2)2,1
Lu(FeSi)2,2
Lu(FeSn)6,1
Lu(GaFe)6,1
Lu(HO)3,5
Lu(MnAl)6,1
Lu(MnAl2)4,1
Lu(MnGe)2,2
Lu(MnGe)6,2
Lu(MnSi)2,1
Lu(MnSn)6,1
Lu(Mo3S4)2,1
Lu(Mo3Se4)2,1
Lu(Ni2As)2,1
Lu(Ni2P)2,1
Lu(NiGe)2,2
Lu(P2Rh3)2,1
Lu(SiNi)2,2
Lu(SiOs)2,1
Lu(SiPd)2,2
Lu(SiPt)2,4
Lu(SiRh)2,2
Lu(SiRu)2,1
Lu(TiGa2)2,1
Lu(VFe5)2,1
Lu12Fe2Pb3,1
Lu12In2Fe3,1
Lu2(B2Rh3)3,1
Lu2(CN2)3,2
Lu2(NiB2)3,1
Lu2AgAu,3
Lu2AgHg,4
Lu2AgIr,3
Lu2AgOs,3
Lu2AgPt,3
Lu2AgRu,3
Lu2Al3Co,1
Lu2Al3Fe,2
Lu2AlCo3,1
Lu2AlNi2,3
Lu2AlSi2,3
Lu2AlZn,4
Lu2Au,3
Lu2C,5
Lu2C3,1
Lu2CCl2,2
Lu2CdAg,4
Lu2CdHg,3
Lu2CdIn,4
Lu2CdPd2,2
Lu2CdS4,1
Lu2CdSe4,1
Lu2Co3Si5,1
Lu2Co7,1
Lu2CoCu,4
Lu2CoGe2,1
Lu2CoGe6,1
Lu2CoIr,3
Lu2CoOs,3
Lu2CoRh,3
Lu2CoRu,3
Lu2Cr2C3,1
Lu2Cu(GeO3)4,1
Lu2CuAu,3
Lu2CuIr,5
Lu2CuOs,3
Lu2CuPd,3
Lu2CuPt,4
Lu2CuRh,3
Lu2CuRu,3
Lu2FeC4,1
Lu2Ga3Cu,3
Lu2Ga3Ni,3
Lu2Ga8Co,1
Lu2Ga8Fe,1
Lu2GaAg,4
Lu2GaCu,3
Lu2GaNi2,4
Lu2GaOs,4
Lu2GaRu,3
Lu2HgAu,3
Lu2In,4
Lu2InAg,4
Lu2InAu2,2
Lu2InCu2,2
Lu2InHg,4
Lu2InNi2,2
Lu2InPd2,3
Lu2IrPd,3
Lu2IrRh,3
Lu2IrRu,3
Lu2MgAl,4
Lu2MgCd,3
Lu2MgGe2,1
Lu2MgHg,3
Lu2MgIn,3
Lu2MgOs,3
Lu2MgRu,4
Lu2MgS4,7
Lu2MgSe4,6
Lu2MnS4,1
Lu2MnSe4,1
Lu2Mo2C3,1
Lu2NiGe6,1
Lu2NiIr,3
Lu2NiOs,3
Lu2NiRu,3
Lu2NiSn6,1
Lu2O3,5
Lu2OsPd,3
Lu2Pd2Pb,1
Lu2PdAu,3
Lu2PdO4,1
Lu2PdPt,3
Lu2PdRh,4
Lu2PdRu,3
Lu2Pt,4
Lu2ReC2,1
Lu2RuAu,3
Lu2RuPt,3
Lu2RuRh,3
Lu2S3,10
Lu2SO2,3
Lu2Se3,6
Lu2SeO2,3
Lu2Si2O7,2
Lu2Si3Pd,1
Lu2Si5Ir3,1
Lu2Si5Ni3,1
Lu2Te3,21
Lu2TeO6,4
Lu2TiO5,4
Lu2TlAg,3
Lu2TlCd,4
Lu2TlHg,4
Lu2TlIn,4
Lu2TlZn,4
Lu2Zn17,1
Lu2ZnAg,4
Lu2ZnAu,3
Lu2ZnCu,4
Lu2ZnGa,3
Lu2ZnHg,4
Lu2ZnIn,4
Lu2ZnIr,3
Lu2ZnOs,4
Lu2ZnPd,4
Lu2ZnPt,3
Lu2ZnRu,3
Lu3(CuGe)4,2
Lu3(CuSi)4,2
Lu3(CuSn)4,1
Lu3Al,6
Lu3Al2,1
Lu3AlC,1
Lu3AlN,1
Lu3AlO6,2
Lu3BC3,1
Lu3Cd,5
Lu3Co,4
Lu3Co11B4,1
Lu3Co2Si3,1
Lu3Fe2Si3,1
Lu3Ga10Ni,1
Lu3Ga5Co,2
Lu3Ga5Ni,1
Lu3Ga8Cu3,1
Lu3Ga8Ir3,1
Lu3Ga8Rh3,1
Lu3Ga9Pd2,1
Lu3GaC,1
Lu3Ge3Ir2,1
Lu3Ge3Ru2,1
Lu3Ge4,1
Lu3Hg,5
Lu3In,8
Lu3InC,1
Lu3InN,2
Lu3Ir,4
Lu3Mg,6
Lu3Mg2CrS8,1
Lu3Mg2MnS8,1
Lu3Mg2TiS8,1
Lu3Mg2VS8,1
Lu3Mn3Ga2Si,1
Lu3MnFe3O10,1
Lu3Ni2Ge3,1
Lu3Os,3
Lu3PbC,1
Lu3Pd4,1
Lu3Pt,4
Lu3Pt4,1
Lu3Ru,5
Lu3S4,2
Lu3Sb4Au3,1
Lu3Sc,7
Lu3ScV4O12,1
Lu3Sn,5
Lu3SnC,1
Lu3Tl,7
Lu3Tl2Cu5Se8,1
Lu3Tl5,1
Lu3TlC,1
Lu4B3C4,1
Lu4CoSn8,1
Lu4CuGe8,1
Lu4FeGe8,1
Lu4Ga12Ni,1
Lu4Ga12Pd,1
Lu4Ge6Os7,1
Lu4Ge6Rh7,1
Lu4Ge6Ru7,1
Lu4Ge8Pd,1
Lu4Ge8Rh,1
Lu4Ge8Ru,1
Lu4MnGe8,1
Lu4MnS7,1
Lu4Ni2C5,1
Lu4Zr3O12,2
Lu5(ReO6)2,1
Lu5(TeAu)2,1
Lu5BiPd2,1
Lu5CuPb3,1
Lu5Ga3,1
Lu5Ge3,1
Lu5Ge3C,1
Lu5In4,1
Lu5Ir2,1
Lu5Ir3,1
Lu5Ni2Bi,1
Lu5Ni2Sb,1
Lu5NiPb3,1
Lu5Pb3,1
Lu5Pt3,2
Lu5Re2C7,1
Lu5Rh3,2
Lu5SbPd2,1
Lu5SbPt2,1
Lu5Si3,1
Lu5Si3C,1
Lu5Sn3,1
Lu5Tl3,1
Lu6Co2Sn,1
Lu6FeBi2,1
Lu6FeSb2,1
Lu6GaNi2,1
Lu6InCo2,1
Lu6MnBi2,1
Lu6MnSb2,1
Lu6Ni2Sn,1
Lu6Sb2Mo,1
Lu6TeO12,1
Lu6WO12,1
Lu7(NiTe)2,1
Lu7(TePd)2,1
Lu7(TeRh)2,1
Lu7(TeRu)2,1
Lu7Te,1
Lu8Te,1
LuAg2,4
LuAg3,3
LuAg4,1
LuAgGe,6
LuAgHg2,4
LuAgO2,3
LuAgPb,6
LuAgS2,5
LuAgSe2,5
LuAgSn,7
LuAgTe2,6
LuAl,4
LuAl2,5
LuAl2Ni,4
LuAl2Pd5,1
LuAl3,8
LuAl3Ni2,2
LuAl4Ni,2
LuAl7Fe5,1
LuAlAg2,3
LuAlAu,6
LuAlB4,2
LuAlCo,5
LuAlCu,7
LuAlCu2,4
LuAlFe,6
LuAlGe,4
LuAlNi,5
LuAlO3,4
LuAlPd,6
LuAlPt,3
LuAlSi,5
LuAs,4
LuAsO4,2
LuAsPt,7
LuAsSe,2
LuAu,5
LuAu2,4
LuAu3,6
LuAu4,1
LuB12,1
LuB2,2
LuB2C,5
LuB2Ir3,1
LuB2Os,2
LuB2Os3,1
LuB2Rh3,1
LuB2Ru,2
LuB2Ru3,1
LuB4,1
LuBO3,6
LuBPt2,1
LuBRh3,1
LuBi,3
LuBi2BrO4,1
LuBi2ClO4,1
LuBi2IO4,1
LuBiO3,4
LuBiPd,4
LuBiPd2,3
LuBiPt,2
LuBiTe3,1
LuBr3,6
LuCd,2
LuCd2,4
LuCd3,5
LuCdAg2,3
LuCdHg2,3
LuCdNi4,1
LuCdPd2,3
LuCdPt2,3
LuCdRh2,3
LuCl3,4
LuCo2,4
LuCo2Sn,5
LuCo3,3
LuCo3B2,1
LuCo4B,1
LuCoC,3
LuCoC2,3
LuCoGe,5
LuCoGe2,3
LuCoSi,5
LuCoSn,8
LuCrO3,2
LuCrO4,1
LuCu2,4
LuCu5,4
LuCuAs2,1
LuCuGe,6
LuCuPb,5
LuCuPbS3,1
LuCuPbSe3,3
LuCuS2,3
LuCuSb2,1
LuCuSe2,5
LuCuSi,8
LuCuSn,8
LuCuTe2,5
LuF3,9
LuFe2,5
LuFe2Co2B,1
LuFe4(CuO4)3,1
LuFe4B,1
LuFeC2,4
LuGa,6
LuGa2,7
LuGa2Ni,3
LuGa2Ni3,2
LuGa2Pd,5
LuGa3,5
LuGa4Ni,1
LuGa5Co,1
LuGaAg,7
LuGaAu,9
LuGaCu2,5
LuGaCuO4,1
LuGaNi,6
LuGaO3,6
LuGaPd,6
LuGaPd2,5
LuGaPt,5
LuGaRh2,6
LuGe2,5
LuGeAu,6
LuGeIr,3
LuGePd,7
LuGePd2,4
LuGePt,5
LuGeRh,5
LuGeRu,6
LuH2,4
LuH2ClO2,2
LuH3,5
LuHCl,4
LuHO2,9
LuHSe,3
LuHfCo2,3
LuHfF7,1
LuHfIr2,3
LuHfRh2,4
LuHfRu2,3
LuHg,3
LuI3,6
LuIO,3
LuIn,3
LuIn2,5
LuIn3,5
LuInAg2,4
LuInAu,5
LuInAu2,4
LuInCo4,1
LuInCu2,5
LuInNi,5
LuInNi2,5
LuInNi4,1
LuInPd,6
LuInPd2,5
LuInPt,4
LuInPt2,5
LuInRh,5
LuInRh2,5
LuIr,4
LuIr2,3
LuMg,2
LuMg2Cr3S8,1
LuMg2Mn3S8,1
LuMg2Sc,3
LuMg2Ti3S8,1
LuMg3,5
LuMgAg2,3
LuMgAu2,4
LuMgCd2,4
LuMgCrS4,1
LuMgHg2,3
LuMgIn,5
LuMgMnS4,1
LuMgPd2,3
LuMgRh2,3
LuMgTiS4,1
LuMgTl,5
LuMgTl2,3
LuMgVS4,1
LuMgZn2,3
LuMn2,3
LuMn4(CuO4)3,1
LuMn6(Sn2Ge)2,1
LuMn6GaGe5,1
LuMnO3,4
LuMnRh2,3
LuMnSi,3
LuN,2
LuNbO4,4
LuNbRu2,3
LuNi,4
LuNi2,6
LuNi2B2C,1
LuNi2Sn,4
LuNi3,5
LuNi4Au,1
LuNi4B,1
LuNi4Sn,1
LuNi5,4
LuNiBC,1
LuNiBi,1
LuNiC2,1
LuNiGe,7
LuNiGe2,3
LuNiGe3,2
LuNiO3,2
LuNiP,7
LuNiPb,4
LuNiSb,5
LuNiSn,5
LuNiSn4,1
LuOF,5
LuOs2,3
LuP,3
LuP5,1
LuPO4,2
LuPPd,7
LuPPt,5
LuPb3,5
LuPd,6
LuPd2Pb,3
LuPd3,5
LuPt,7
LuPt3,4
LuRe2,3
LuRh,4
LuRh2,3
LuRh2Pb,3
LuRh3,5
LuRh3C,1
LuRhO3,3
LuRu,3
LuRu2,3
LuRu3C,1
LuS,3
LuS2,6
LuSBr,2
LuSF,6
LuSb,3
LuSbPd2,3
LuSbPt,4
LuSbRh2,3
LuSbRu2,2
LuSc(BO3)2,1
LuSc3(MnSi)4,1
LuScCo2,3
LuScCu2,3
LuScHg2,3
LuScIr2,3
LuScO3,3
LuScPd2,4
LuScRh2,3
LuScRu2,3
LuScZn2,3
LuSe,3
LuSe2,6
LuSeO3F,2
LuSi,3
LuSi2Ni,2
LuSiAg,4
LuSiAu,5
LuSiIr,3
LuSiPd2,3
LuSiPt,4
LuSiPt2,5
LuSiRh,3
LuSiRu,5
LuSn2,6
LuSnAu,6
LuSnIr,4
LuSnPd,5
LuSnPd2,4
LuSnPt,5
LuSnRh,5
LuSnRh2,4
LuSnRu2,4
LuTaO4,3
LuTaOs2,3
LuTaRu2,3
LuTe,5
LuTe2,4
LuTe3,6
LuTiClO3,1
LuTiFe11C,1
LuTiGe,3
LuTiO3,2
LuTiSi,2
LuTl,2
LuTl3,3
LuTlO3,1
LuTlRh2,4
LuTlS2,2
LuTlSe2,4
LuTlTe2,2
LuVO3,2
LuVO4,2
LuWO4,2
LuZn,2
LuZn12,1
LuZn2,6
LuZn3,6
LuZnCuAs2,1
LuZnFeO4,1
LuZnPd,4
LuZnPd2,4
LuZnPt,4
LuZnRh,3
LuZnRh2,3
LuZnSn,6
LuZnSn2,4
LuZr,2
LuZrCo2,3
LuZrF7,1
LuZrRu2,3
LuZrSb,3
Mg,34
Mg(Ag3O4)2,1
Mg(AlC)2,1
Mg(AlGe)2,5
Mg(AlH4)2,9
Mg(AlS2)2,6
Mg(AlSe2)2,5
Mg(AlSi)2,6
Mg(As2Rh3)2,1
Mg(AuF6)2,2
Mg(BC)2,3
Mg(BH4)2,12
Mg(BeAs)2,2
Mg(BeN)2,1
Mg(BeP)2,2
Mg(BiO2)2,13
Mg(BiO2)4,3
Mg(BiO3)2,5
Mg(BrO3)2,6
Mg(CO2)2,1
Mg(Co2Ge3)2,1
Mg(Co3P2)2,2
Mg(CoGe)6,2
Mg(CoS2)2,4
Mg(CrS2)2,2
Mg(CrS2)4,3
Mg(CrSe2)2,2
Mg(CuO2)2,15
Mg(FeGe)6,2
Mg(FeO2)2,15
Mg(GaO2)2,8
Mg(HO)2,10
Mg(IO3)2,8
Mg(InN)2,3
Mg(InS2)2,17
Mg(InSe2)2,12
Mg(InTe2)2,3
Mg(Mn5N4)2,1
Mg(MnGe)6,2
Mg(MnS2)2,3
Mg(MnS2)4,3
Mg(MnSn)6,1
Mg(Mo3Se4)2,3
Mg(MoO2)2,12
Mg(NiGe)6,2
Mg(NiO2)2,13
Mg(NiO2)4,2
Mg(P2Rh3)2,1
Mg(PtO2)3,1
Mg(ReO4)2,4
Mg(RhO2)2,3
Mg(SbO3)2,3
Mg(ScGa)2,3
Mg(ScS2)2,10
Mg(ScSe2)2,8
Mg(SiNi)6,2
Mg(TiS2)2,6
Mg(TiS2)3,2
Mg(TiS2)4,4
Mg(VS2)4,5
Mg(ZnN)2,1
Mg(ZnSb)2,5
Mg14AlBi,2
Mg14AlCd,3
Mg14AlCu,2
Mg14AlGa,2
Mg14AlSb,2
Mg14AlSi,2
Mg14AlSn,2
Mg14AlZn,2
Mg14BiSb,2
Mg14CdBi,3
Mg14CdCo,2
Mg14CdCu,2
Mg14CdGa,3
Mg14CdNi,2
Mg14CdSb,2
Mg14CdSi,2
Mg14CdSn,3
Mg14CoSn,2
Mg14CrBi,2
Mg14CrCd,2
Mg14CrGa,2
Mg14CrSn,2
Mg14CuBi,2
Mg14CuNi,2
Mg14CuSb,2
Mg14CuSi,2
Mg14CuSn,2
Mg14GaBi,2
Mg14GaCu,2
Mg14GaNi,2
Mg14GaSb,2
Mg14GaSi,2
Mg14GaSn,3
Mg14MnBi,2
Mg14MnCd,2
Mg14MnCu,2
Mg14MnGa,2
Mg14MnSb,2
Mg14MnSn,2
Mg14MnZn,2
Mg14NbBi,2
Mg14NbCd,2
Mg14NbSn,2
Mg14NbZn,2
Mg14NiBi,2
Mg14NiSb,2
Mg14NiSn,2
Mg14SiBi,2
Mg14SiSb,2
Mg14SiSn,2
Mg14SnBi,2
Mg14SnSb,2
Mg14TiBi,2
Mg14TiCd,2
Mg14TiCu,2
Mg14TiGa,2
Mg14TiSb,2
Mg14TiSn,2
Mg14TiZn,2
Mg14VCd,2
Mg14VSn,2
Mg14ZnBi,2
Mg14ZnCd,3
Mg14ZnCu,2
Mg14ZnGa,2
Mg14ZnNi,2
Mg14ZnSb,2
Mg14ZnSi,2
Mg14ZnSn,3
Mg14ZrAl,2
Mg14ZrBi,2
Mg14ZrCd,2
Mg14ZrCu,2
Mg14ZrGa,2
Mg14ZrNb,2
Mg14ZrSb,2
Mg14ZrSn,2
Mg14ZrTi,2
Mg14ZrZn,2
Mg15Al,1
Mg15Bi,1
Mg15Cd,1
Mg15Co,1
Mg15Cr,1
Mg15Cu,1
Mg15Fe,1
Mg15Ga,1
Mg15Mn,1
Mg15Nb,1
Mg15Ni,1
Mg15Sb,1
Mg15Si,1
Mg15Sn,1
Mg15Ti,1
Mg15V,1
Mg15Zn,1
Mg15Zr,1
Mg2Ag,22
Mg2AgAu,13
Mg2AgHg,14
Mg2AgIr,12
Mg2AgPd,7
Mg2AgPt,11
Mg2AgRh,11
Mg2AgWO6,2
Mg2Al2Se5,1
Mg2Al3CrS8,1
Mg2Al3MoS8,1
Mg2Al3VS8,1
Mg2AlB2Ir5,1
Mg2AlCr3S8,1
Mg2AlV3S8,1
Mg2As2O7,3
Mg2Au,24
Mg2B2AsIr5,1
Mg2B2O5,4
Mg2BeB2Ir5,1
Mg2Bi3,2
Mg2BiAsO6,2
Mg2BiPO6,2
Mg2Cd,36
Mg2CdAg,15
Mg2CdHg,15
Mg2CdIr,13
Mg2CdPd,6
Mg2CdRh,11
Mg2CoB2Ir5,1
Mg2CoH5,4
Mg2CoN2,1
Mg2Cr3CoS8,1
Mg2Cr3FeS8,1
